location_name,sex_name,cause_name,gain_HALE_1,gain_HALE_1_Q1,gain_HALE_1_Q3,gain_HALE_2,gain_HALE_2_Q1,gain_HALE_2_Q3,gain_HALE_3,gain_HALE_3_Q1,gain_HALE_3_Q3
Congo,Male,Diabetes mellitus,2.297,2.196,2.425,1.799,0.928,2.552,1.611,1.521,1.681
Congo,Female,Diabetes mellitus,2.482,2.402,2.582,2.07,1.049,2.965,1.91,1.823,1.972
Congo,Both,Diabetes mellitus,2.398,2.308,2.51,1.944,0.998,2.763,1.77,1.701,1.825
Congo,Male,Four major NCDs,5.395,5.208,5.62,2.678,1.785,3.449,0.869,0.217,1.427
Congo,Female,Four major NCDs,5.874,5.685,6.095,3.007,1.96,3.925,1.164,0.384,1.778
Congo,Both,Four major NCDs,5.643,5.459,5.855,2.852,1.882,3.691,1.028,0.42,1.543
Costa Rica,Male,Neoplasms,5.261,5.244,5.283,4.382,3.403,5.214,3.905,3.869,3.94
Costa Rica,Female,Neoplasms,6.73,6.716,6.747,5.882,4.734,6.865,5.487,5.458,5.514
Costa Rica,Both,Neoplasms,5.978,5.963,5.995,5.11,4.05,6.017,4.675,4.649,4.702
Costa Rica,Male,Cardiovascular diseases,5.277,5.248,5.31,4.375,3.396,5.207,3.906,3.871,3.941
Costa Rica,Female,Cardiovascular diseases,6.232,6.201,6.266,5.7,4.555,6.681,5.491,5.469,5.511
Costa Rica,Both,Cardiovascular diseases,5.747,5.718,5.78,5.019,3.961,5.925,4.684,4.661,4.708
Costa Rica,Male,Chronic respiratory diseases,4.16,4.142,4.181,4.019,3.046,4.845,3.971,3.962,3.979
Costa Rica,Female,Chronic respiratory diseases,5.666,5.64,5.696,5.52,4.378,6.498,5.489,5.474,5.495
Costa Rica,Both,Chronic respiratory diseases,4.89,4.87,4.914,4.746,3.692,5.648,4.706,4.698,4.712
Costa Rica,Male,Diabetes mellitus,4.487,4.334,4.679,4.009,3.036,4.836,3.972,3.964,3.979
Costa Rica,Female,Diabetes mellitus,5.881,5.769,6.03,5.516,4.374,6.494,5.488,5.482,5.494
Costa Rica,Both,Diabetes mellitus,5.159,5.03,5.323,4.739,3.685,5.64,4.707,4.701,4.711
Costa Rica,Male,Four major NCDs,7.315,7.087,7.596,4.85,3.863,5.689,3.807,3.718,3.894
Costa Rica,Female,Four major NCDs,8.076,7.888,8.312,6.154,5.001,7.141,5.486,5.414,5.545
Costa Rica,Both,Four major NCDs,7.693,7.493,7.94,5.486,4.42,6.399,4.637,4.572,4.699
Croatia,Male,Neoplasms,4.944,4.916,4.976,3.53,2.507,4.391,2.547,2.49,2.601
Croatia,Female,Neoplasms,5.358,5.331,5.39,4.405,3.27,5.373,3.847,3.811,3.883
Croatia,Both,Neoplasms,5.216,5.189,5.245,4.007,2.932,4.925,3.242,3.203,3.279
Croatia,Male,Cardiovascular diseases,4.597,4.539,4.663,3.388,2.368,4.247,2.631,2.58,2.679
Croatia,Female,Cardiovascular diseases,4.815,4.767,4.867,4.203,3.073,5.167,3.915,3.889,3.94
Croatia,Both,Cardiovascular diseases,4.77,4.717,4.826,3.836,2.765,4.749,3.317,3.284,3.349
Croatia,Male,Chronic respiratory diseases,3.133,3.103,3.165,2.938,1.929,3.788,2.875,2.865,2.884
Croatia,Female,Chronic respiratory diseases,4.134,4.106,4.168,4.002,2.875,4.962,3.979,3.973,3.983
Croatia,Both,Chronic respiratory diseases,3.663,3.637,3.693,3.498,2.434,4.405,3.455,3.45,3.46
Croatia,Male,Diabetes mellitus,3.289,3.176,3.437,2.924,1.916,3.774,2.882,2.874,2.889
Croatia,Female,Diabetes mellitus,4.297,4.201,4.418,4,2.874,4.961,3.979,3.974,3.983
Croatia,Both,Diabetes mellitus,3.821,3.72,3.953,3.49,2.426,4.397,3.458,3.454,3.463
Croatia,Male,Four major NCDs,7.402,7.155,7.704,4.083,3.047,4.955,2.202,2.074,2.323
Croatia,Female,Four major NCDs,6.692,6.485,6.939,4.657,3.517,5.628,3.758,3.686,3.828
Croatia,Both,Four major NCDs,7.148,6.929,7.411,4.425,3.341,5.35,3.048,2.965,3.128
Cuba,Male,Neoplasms,4.793,4.771,4.819,3.662,2.696,4.487,2.959,2.917,3.004
Cuba,Female,Neoplasms,5.676,5.657,5.697,4.677,3.566,5.619,4.134,4.103,4.164
Cuba,Both,Neoplasms,5.228,5.209,5.251,4.156,3.125,5.038,3.534,3.505,3.565
Cuba,Male,Cardiovascular diseases,4.781,4.747,4.82,3.644,2.678,4.468,2.966,2.923,3.008
Cuba,Female,Cardiovascular diseases,5.353,5.322,5.388,4.558,3.45,5.498,4.161,4.128,4.192
Cuba,Both,Cardiovascular diseases,5.068,5.037,5.104,4.09,3.061,4.971,3.555,3.521,3.588
Cuba,Male,Chronic respiratory diseases,3.394,3.37,3.422,3.202,2.245,4.019,3.127,3.116,3.137
Cuba,Female,Chronic respiratory diseases,4.526,4.493,4.564,4.283,3.18,5.219,4.208,4.193,4.248
Cuba,Both,Chronic respiratory diseases,3.944,3.918,3.973,3.725,2.702,4.6,3.651,3.64,3.671
Cuba,Male,Diabetes mellitus,3.622,3.479,3.805,3.17,2.213,3.987,3.137,3.131,3.142
Cuba,Female,Diabetes mellitus,4.617,4.505,4.756,4.251,3.148,5.186,4.213,4.206,4.219
Cuba,Both,Diabetes mellitus,4.102,3.976,4.257,3.693,2.671,4.568,3.658,3.654,3.662
Cuba,Male,Four major NCDs,7.254,7.016,7.551,4.236,3.259,5.071,2.723,2.62,2.827
Cuba,Female,Four major NCDs,7.575,7.371,7.818,5.109,3.992,6.058,4.047,3.959,4.154
Cuba,Both,Four major NCDs,7.425,7.211,7.682,4.666,3.626,5.556,3.381,3.302,3.47
Cyprus,Male,Neoplasms,5.03,5.007,5.059,4.137,3.152,4.969,3.638,3.588,3.684
Cyprus,Female,Neoplasms,5.844,5.815,5.879,5.06,3.847,6.089,4.668,4.635,4.703
Cyprus,Both,Neoplasms,5.452,5.427,5.482,4.606,3.508,5.541,4.159,4.127,4.191
Cyprus,Male,Cardiovascular diseases,4.964,4.924,5.008,4.1,3.115,4.932,3.646,3.591,3.697
Cyprus,Female,Cardiovascular diseases,5.247,5.22,5.277,4.864,3.655,5.89,4.699,4.669,4.725
Cyprus,Both,Cardiovascular diseases,5.125,5.093,5.161,4.491,3.395,5.424,4.181,4.147,4.211
Cyprus,Male,Chronic respiratory diseases,3.976,3.939,4.019,3.772,2.793,4.598,3.729,3.717,3.738
Cyprus,Female,Chronic respiratory diseases,4.934,4.888,4.994,4.74,3.534,5.765,4.715,4.707,4.722
Cyprus,Both,Chronic respiratory diseases,4.46,4.42,4.51,4.26,3.168,5.19,4.226,4.218,4.231
Cyprus,Male,Diabetes mellitus,4.164,4.056,4.306,3.778,2.799,4.604,3.727,3.714,3.739
Cyprus,Female,Diabetes mellitus,5.027,4.94,5.14,4.742,3.536,5.767,4.715,4.706,4.723
Cyprus,Both,Diabetes mellitus,4.601,4.504,4.725,4.264,3.172,5.194,4.225,4.217,4.232
Cyprus,Male,Four major NCDs,6.985,6.765,7.255,4.574,3.581,5.413,3.514,3.384,3.635
Cyprus,Female,Four major NCDs,6.92,6.726,7.166,5.25,4.035,6.283,4.639,4.558,4.713
Cyprus,Both,Four major NCDs,6.986,6.785,7.235,4.926,3.823,5.866,4.089,4.007,4.165
Czechia,Male,Neoplasms,5.174,5.149,5.202,3.944,2.854,4.903,3.151,3.111,3.19
Czechia,Female,Neoplasms,5.881,5.859,5.906,4.932,3.747,5.95,4.409,4.382,4.437
Czechia,Both,Neoplasms,5.579,5.556,5.604,4.47,3.346,5.45,3.815,3.787,3.844
Czechia,Male,Cardiovascular diseases,5.12,5.047,5.202,3.876,2.788,4.834,3.183,3.143,3.224
Czechia,Female,Cardiovascular diseases,5.333,5.27,5.402,4.706,3.527,5.719,4.462,4.44,4.483
Czechia,Both,Cardiovascular diseases,5.289,5.223,5.362,4.327,3.206,5.304,3.862,3.833,3.891
Czechia,Male,Chronic respiratory diseases,3.679,3.652,3.71,3.451,2.373,4.401,3.365,3.353,3.376
Czechia,Female,Chronic respiratory diseases,4.693,4.668,4.721,4.535,3.358,5.545,4.497,4.49,4.513
Czechia,Both,Chronic respiratory diseases,4.213,4.189,4.238,4.016,2.902,4.988,3.955,3.948,3.965
Czechia,Male,Diabetes mellitus,3.991,3.812,4.23,3.426,2.348,4.375,3.375,3.367,3.382
Czechia,Female,Diabetes mellitus,4.953,4.812,5.127,4.525,3.348,5.535,4.499,4.495,4.503
Czechia,Both,Diabetes mellitus,4.497,4.34,4.698,3.998,2.884,4.969,3.96,3.956,3.964
Czechia,Male,Four major NCDs,7.917,7.589,8.324,4.519,3.417,5.49,2.867,2.766,2.968
Czechia,Female,Four major NCDs,7.393,7.132,7.7,5.185,3.996,6.207,4.348,4.287,4.418
Czechia,Both,Four major NCDs,7.751,7.466,8.093,4.902,3.769,5.889,3.666,3.597,3.738
Côte d'Ivoire,Male,Neoplasms,2.299,2.293,2.307,1.804,0.96,2.539,1.375,1.246,1.481
Côte d'Ivoire,Female,Neoplasms,3.252,3.245,3.261,2.726,1.663,3.62,2.34,2.209,2.448
Côte d'Ivoire,Both,Neoplasms,2.704,2.698,2.713,2.192,1.262,2.995,1.781,1.664,1.881
Côte d'Ivoire,Male,Cardiovascular diseases,3.145,3.1,3.194,2.03,1.18,2.77,1.175,0.863,1.438
Côte d'Ivoire,Female,Cardiovascular diseases,3.928,3.879,3.982,2.896,1.831,3.794,2.249,2.001,2.455
Côte d'Ivoire,Both,Cardiovascular diseases,3.484,3.439,3.533,2.397,1.462,3.204,1.634,1.392,1.843
Côte d'Ivoire,Male,Chronic respiratory diseases,1.899,1.879,1.921,1.649,0.809,2.381,1.505,1.437,1.56
Côte d'Ivoire,Female,Chronic respiratory diseases,2.772,2.744,2.802,2.534,1.477,3.424,2.446,2.401,2.479
Côte d'Ivoire,Both,Chronic respiratory diseases,2.269,2.246,2.291,2.021,1.095,2.82,1.902,1.854,1.939
Côte d'Ivoire,Male,Diabetes mellitus,1.953,1.893,2.026,1.646,0.805,2.377,1.508,1.444,1.557
Côte d'Ivoire,Female,Diabetes mellitus,2.921,2.847,3.015,2.558,1.5,3.449,2.434,2.374,2.481
Côte d'Ivoire,Both,Diabetes mellitus,2.361,2.297,2.441,2.028,1.103,2.827,1.897,1.847,1.937
Côte d'Ivoire,Male,Four major NCDs,4.676,4.534,4.841,2.414,1.554,3.163,0.815,0.231,1.298
Côte d'Ivoire,Female,Four major NCDs,5.517,5.35,5.714,3.282,2.207,4.188,2.019,1.526,2.418
Côte d'Ivoire,Both,Four major NCDs,5.052,4.904,5.223,2.785,1.841,3.6,1.335,0.87,1.728
Democratic People's Republic of Korea,Male,Neoplasms,3.439,3.427,3.453,2.358,1.597,3.011,1.539,1.314,1.735
Democratic People's Republic of Korea,Female,Neoplasms,4.682,4.671,4.698,3.873,2.865,4.747,3.365,3.209,3.498
Democratic People's Republic of Korea,Both,Neoplasms,4.223,4.212,4.236,3.25,2.37,4.011,2.595,2.434,2.74
Democratic People's Republic of Korea,Male,Cardiovascular diseases,4.723,4.65,4.796,2.694,1.926,3.352,1.316,0.973,1.633
Democratic People's Republic of Korea,Female,Cardiovascular diseases,5.816,5.736,5.898,4.159,3.147,5.036,3.271,3.024,3.498
Democratic People's Republic of Korea,Both,Cardiovascular diseases,5.468,5.392,5.543,3.572,2.687,4.338,2.451,2.202,2.69
Democratic People's Republic of Korea,Male,Chronic respiratory diseases,2.675,2.636,2.716,2.068,1.313,2.715,1.728,1.583,1.858
Democratic People's Republic of Korea,Female,Chronic respiratory diseases,4.151,4.099,4.203,3.626,2.624,4.494,3.453,3.369,3.517
Democratic People's Republic of Korea,Both,Chronic respiratory diseases,3.554,3.512,3.593,2.973,2.099,3.729,2.722,2.635,2.801
Democratic People's Republic of Korea,Male,Diabetes mellitus,2.108,2.05,2.181,1.884,1.133,2.529,1.834,1.809,1.853
Democratic People's Republic of Korea,Female,Diabetes mellitus,3.803,3.741,3.883,3.539,2.539,4.406,3.479,3.447,3.503
Democratic People's Republic of Korea,Both,Diabetes mellitus,3.077,3.018,3.152,2.832,1.961,3.586,2.776,2.755,2.794
Democratic People's Republic of Korea,Male,Four major NCDs,7.613,7.411,7.839,3.431,2.649,4.102,0.763,0.003,1.445
Democratic People's Republic of Korea,Female,Four major NCDs,8.102,7.883,8.347,4.714,3.691,5.601,3.056,2.526,3.511
Democratic People's Republic of Korea,Both,Four major NCDs,8.125,7.921,8.346,4.241,3.343,5.018,2.108,1.578,2.6
Democratic Republic of the Congo,Male,Neoplasms,2.242,2.236,2.25,1.79,0.868,2.589,1.388,1.221,1.512
Democratic Republic of the Congo,Female,Neoplasms,3.083,3.075,3.093,2.537,1.459,3.475,2.112,1.966,2.228
Democratic Republic of the Congo,Both,Neoplasms,2.688,2.682,2.697,2.188,1.192,3.06,1.776,1.651,1.883
Democratic Republic of the Congo,Male,Cardiovascular diseases,3.27,3.235,3.308,2.086,1.155,2.892,1.115,0.777,1.394
Democratic Republic of the Congo,Female,Cardiovascular diseases,4.022,3.984,4.066,2.802,1.719,3.745,1.94,1.643,2.186
Democratic Republic of the Congo,Both,Cardiovascular diseases,3.689,3.652,3.728,2.474,1.471,3.352,1.56,1.302,1.786
Democratic Republic of the Congo,Male,Chronic respiratory diseases,1.975,1.951,1.998,1.674,0.755,2.47,1.491,1.393,1.574
Democratic Republic of the Congo,Female,Chronic respiratory diseases,2.782,2.751,2.815,2.4,1.327,3.335,2.203,1.993,2.306
Democratic Republic of the Congo,Both,Chronic respiratory diseases,2.405,2.38,2.43,2.062,1.07,2.931,1.872,1.752,1.95
Democratic Republic of the Congo,Male,Diabetes mellitus,2.106,2.013,2.226,1.664,0.746,2.46,1.498,1.421,1.557
Democratic Republic of the Congo,Female,Diabetes mellitus,2.623,2.555,2.711,2.329,1.257,3.262,2.247,2.204,2.278
Democratic Republic of the Congo,Both,Diabetes mellitus,2.391,2.311,2.491,2.022,1.031,2.89,1.899,1.854,1.936
Democratic Republic of the Congo,Male,Four major NCDs,4.976,4.806,5.183,2.482,1.54,3.298,0.72,0.025,1.278
Democratic Republic of the Congo,Female,Four major NCDs,5.773,5.617,5.96,3.228,2.134,4.182,1.633,0.923,2.138
Democratic Republic of the Congo,Both,Four major NCDs,5.425,5.267,5.612,2.888,1.874,3.777,1.215,0.655,1.672
Denmark,Male,Neoplasms,5.302,5.273,5.335,4.096,3.125,4.931,3.431,3.395,3.467
Denmark,Female,Neoplasms,6.336,6.308,6.369,5.201,3.995,6.232,4.617,4.589,4.646
Denmark,Both,Neoplasms,5.85,5.822,5.881,4.674,3.594,5.594,4.049,4.023,4.075
Denmark,Male,Cardiovascular diseases,4.408,4.369,4.453,3.795,2.83,4.627,3.502,3.474,3.528
Denmark,Female,Cardiovascular diseases,5.113,5.085,5.145,4.801,3.602,5.824,4.679,4.663,4.694
Denmark,Both,Cardiovascular diseases,4.793,4.76,4.83,4.324,3.25,5.24,4.116,4.097,4.133
Denmark,Male,Chronic respiratory diseases,3.9,3.862,3.941,3.62,2.657,4.448,3.541,3.527,3.552
Denmark,Female,Chronic respiratory diseases,5.066,5.019,5.116,4.757,3.559,5.78,4.685,4.671,4.713
Denmark,Both,Chronic respiratory diseases,4.506,4.465,4.547,4.211,3.139,5.125,4.136,4.126,4.15
Denmark,Male,Diabetes mellitus,3.807,3.759,3.867,3.592,2.629,4.42,3.546,3.537,3.554
Denmark,Female,Diabetes mellitus,4.861,4.822,4.909,4.711,3.513,5.733,4.691,4.686,4.695
Denmark,Both,Diabetes mellitus,4.358,4.316,4.41,4.174,3.103,5.088,4.141,4.136,4.146
Denmark,Male,Four major NCDs,6.806,6.645,6.993,4.437,3.461,5.277,3.341,3.254,3.424
Denmark,Female,Four major NCDs,7.326,7.178,7.493,5.388,4.178,6.421,4.587,4.523,4.662
Denmark,Both,Four major NCDs,7.108,6.959,7.275,4.941,3.858,5.866,3.993,3.933,4.057
Djibouti,Male,Neoplasms,2.833,2.824,2.846,2.217,1.373,2.927,1.742,1.517,1.894
Djibouti,Female,Neoplasms,3.71,3.698,3.726,2.975,1.967,3.825,2.473,2.222,2.658
Djibouti,Both,Neoplasms,3.21,3.2,3.224,2.541,1.635,3.307,2.053,1.824,2.215
Djibouti,Male,Cardiovascular diseases,3.703,3.652,3.762,2.446,1.597,3.161,1.59,1.203,1.879
Djibouti,Female,Cardiovascular diseases,4.123,4.071,4.183,3.059,2.05,3.908,2.442,2.122,2.673
Djibouti,Both,Cardiovascular diseases,3.901,3.85,3.958,2.714,1.805,3.482,1.96,1.641,2.201
Djibouti,Male,Chronic respiratory diseases,2.217,2.192,2.243,1.987,1.148,2.694,1.888,1.814,1.934
Djibouti,Female,Chronic respiratory diseases,2.873,2.85,2.899,2.677,1.676,3.52,2.609,2.554,2.655
Djibouti,Both,Chronic respiratory diseases,2.499,2.476,2.523,2.282,1.382,3.043,2.196,2.144,2.232
Djibouti,Male,Diabetes mellitus,2.379,2.316,2.458,2.019,1.179,2.726,1.867,1.773,1.929
Djibouti,Female,Diabetes mellitus,3.013,2.958,3.083,2.705,1.704,3.549,2.597,2.53,2.643
Djibouti,Both,Diabetes mellitus,2.653,2.595,2.727,2.313,1.412,3.074,2.179,2.111,2.227
Djibouti,Male,Four major NCDs,5.453,5.295,5.642,2.888,2.029,3.611,1.274,0.479,1.833
Djibouti,Female,Four major NCDs,5.908,5.758,6.089,3.526,2.507,4.385,2.21,1.508,2.727
Djibouti,Both,Four major NCDs,5.676,5.525,5.854,3.169,2.25,3.947,1.681,1.001,2.177
Dominican Republic,Male,Neoplasms,3.231,3.218,3.248,2.539,1.652,3.275,2.048,1.918,2.162
Dominican Republic,Female,Neoplasms,4.239,4.228,4.253,3.537,2.491,4.434,3.107,3.021,3.186
Dominican Republic,Both,Neoplasms,3.701,3.69,3.715,3,2.047,3.806,2.539,2.449,2.623
Dominican Republic,Male,Cardiovascular diseases,4.812,4.774,4.856,3.012,2.115,3.758,1.776,1.523,2.009
Dominican Republic,Female,Cardiovascular diseases,5.011,4.976,5.05,3.758,2.708,4.658,3.04,2.892,3.182
Dominican Republic,Both,Cardiovascular diseases,4.922,4.886,4.961,3.363,2.402,4.175,2.381,2.216,2.531
Dominican Republic,Male,Chronic respiratory diseases,2.387,2.376,2.399,2.262,1.381,2.994,2.193,2.166,2.214
Dominican Republic,Female,Chronic respiratory diseases,3.364,3.35,3.379,3.244,2.205,4.136,3.197,3.175,3.216
Dominican Republic,Both,Chronic respiratory diseases,2.838,2.828,2.85,2.715,1.768,3.516,2.657,2.641,2.672
Dominican Republic,Male,Diabetes mellitus,2.706,2.635,2.794,2.312,1.431,3.045,2.167,2.113,2.211
Dominican Republic,Female,Diabetes mellitus,3.699,3.623,3.793,3.301,2.261,4.194,3.181,3.139,3.215
Dominican Republic,Both,Diabetes mellitus,3.165,3.091,3.253,2.769,1.82,3.57,2.635,2.601,2.665
Dominican Republic,Male,Four major NCDs,6.61,6.466,6.786,3.47,2.563,4.224,1.491,1.017,1.911
Dominican Republic,Female,Four major NCDs,6.769,6.625,6.94,4.215,3.155,5.123,2.882,2.579,3.16
Dominican Republic,Both,Four major NCDs,6.709,6.568,6.873,3.823,2.853,4.644,2.161,1.85,2.445
Ecuador,Male,Neoplasms,4.086,4.078,4.096,3.486,2.559,4.268,3.111,3.055,3.162
Ecuador,Female,Neoplasms,5.31,5.299,5.325,4.499,3.366,5.444,4.042,3.982,4.096
Ecuador,Both,Neoplasms,4.681,4.671,4.691,3.978,2.946,4.844,3.561,3.519,3.6
Ecuador,Male,Cardiovascular diseases,4.33,4.303,4.363,3.544,2.615,4.327,3.09,3.009,3.16
Ecuador,Female,Cardiovascular diseases,4.935,4.909,4.965,4.358,3.228,5.3,4.073,4.026,4.116
Ecuador,Both,Cardiovascular diseases,4.627,4.6,4.657,3.94,2.91,4.806,3.572,3.524,3.615
Ecuador,Male,Chronic respiratory diseases,3.329,3.319,3.342,3.235,2.312,4.012,3.194,3.185,3.203
Ecuador,Female,Chronic respiratory diseases,4.23,4.218,4.243,4.143,3.018,5.081,4.115,4.107,4.121
Ecuador,Both,Chronic respiratory diseases,3.767,3.757,3.777,3.675,2.65,4.537,3.641,3.635,3.646
Ecuador,Male,Diabetes mellitus,3.742,3.651,3.855,3.298,2.373,4.076,3.173,3.147,3.196
Ecuador,Female,Diabetes mellitus,4.713,4.612,4.836,4.218,3.092,5.158,4.101,4.077,4.122
Ecuador,Both,Diabetes mellitus,4.214,4.12,4.327,3.744,2.718,4.607,3.623,3.605,3.639
Ecuador,Male,Four major NCDs,5.924,5.78,6.1,3.95,3.013,4.739,2.944,2.769,3.096
Ecuador,Female,Four major NCDs,6.877,6.72,7.065,4.86,3.72,5.81,3.963,3.823,4.089
Ecuador,Both,Four major NCDs,6.393,6.247,6.565,4.393,3.354,5.267,3.442,3.326,3.547
Egypt,Male,Neoplasms,2.969,2.959,2.979,2.314,1.492,3.023,1.815,1.682,1.913
Egypt,Female,Neoplasms,2.402,2.394,2.412,2.014,0.893,2.962,1.673,1.587,1.743
Egypt,Both,Neoplasms,2.69,2.682,2.7,2.167,1.211,2.99,1.74,1.647,1.811
Egypt,Male,Cardiovascular diseases,5.523,5.459,5.591,3.055,2.217,3.778,1.314,1.021,1.62
Egypt,Female,Cardiovascular diseases,4.48,4.406,4.558,2.602,1.464,3.563,1.089,0.87,1.375
Egypt,Both,Cardiovascular diseases,5.008,4.94,5.078,2.833,1.861,3.67,1.199,0.987,1.424
Egypt,Male,Chronic respiratory diseases,2.472,2.437,2.507,2.113,1.296,2.818,1.944,1.877,2.004
Egypt,Female,Chronic respiratory diseases,2.154,2.123,2.189,1.897,0.78,2.842,1.778,1.715,1.825
Egypt,Both,Chronic respiratory diseases,2.317,2.286,2.349,2.008,1.056,2.827,1.861,1.816,1.902
Egypt,Male,Diabetes mellitus,2.484,2.401,2.584,2.092,1.275,2.797,1.955,1.898,2
Egypt,Female,Diabetes mellitus,2.392,2.288,2.523,1.926,0.808,2.871,1.752,1.672,1.811
Egypt,Both,Diabetes mellitus,2.437,2.345,2.551,2.011,1.059,2.83,1.858,1.809,1.897
Egypt,Male,Four major NCDs,7.63,7.42,7.87,3.545,2.696,4.277,0.937,0.369,1.458
Egypt,Female,Four major NCDs,6.041,5.806,6.315,2.928,1.78,3.898,0.74,0.279,1.212
Egypt,Both,Four major NCDs,6.843,6.625,7.091,3.242,2.26,4.088,0.829,0.419,1.214
El Salvador,Male,Neoplasms,3.743,3.734,3.754,3.226,2.246,4.077,2.89,2.827,2.945
El Salvador,Female,Neoplasms,5.317,5.307,5.329,4.568,3.448,5.538,4.15,4.079,4.215
El Salvador,Both,Neoplasms,4.55,4.541,4.561,3.913,2.866,4.826,3.532,3.478,3.581
El Salvador,Male,Cardiovascular diseases,4.05,4.027,4.078,3.31,2.328,4.163,2.855,2.745,2.948
El Salvador,Female,Cardiovascular diseases,5.124,5.097,5.155,4.486,3.368,5.454,4.17,4.099,4.233
El Salvador,Both,Cardiovascular diseases,4.605,4.579,4.633,3.913,2.866,4.825,3.534,3.465,3.593
El Salvador,Male,Chronic respiratory diseases,3.127,3.111,3.147,3.016,2.04,3.862,2.974,2.96,2.984
El Salvador,Female,Chronic respiratory diseases,4.39,4.369,4.415,4.251,3.138,5.216,4.21,4.194,4.222
El Salvador,Both,Chronic respiratory diseases,3.774,3.756,3.795,3.648,2.606,4.555,3.606,3.595,3.615
El Salvador,Male,Diabetes mellitus,3.731,3.582,3.92,3.096,2.118,3.944,2.942,2.896,2.979
El Salvador,Female,Diabetes mellitus,4.998,4.879,5.143,4.366,3.25,5.332,4.191,4.144,4.236
El Salvador,Both,Diabetes mellitus,4.377,4.247,4.542,3.746,2.702,4.655,3.58,3.546,3.612
El Salvador,Male,Four major NCDs,5.756,5.549,6.015,3.692,2.701,4.551,2.691,2.457,2.889
El Salvador,Female,Four major NCDs,7.237,7.051,7.459,5.021,3.893,5.999,4.061,3.854,4.249
El Salvador,Both,Four major NCDs,6.519,6.33,6.754,4.374,3.317,5.295,3.394,3.226,3.546
Equatorial Guinea,Male,Neoplasms,3.028,3.02,3.04,2.427,1.489,3.237,1.959,1.73,2.112
Equatorial Guinea,Female,Neoplasms,3.687,3.675,3.705,3.059,1.977,3.983,2.614,2.329,2.8
Equatorial Guinea,Both,Neoplasms,3.393,3.383,3.408,2.777,1.772,3.644,2.324,2.071,2.488
Equatorial Guinea,Male,Cardiovascular diseases,3.407,3.368,3.45,2.513,1.573,3.324,1.902,1.57,2.154
Equatorial Guinea,Female,Cardiovascular diseases,4.03,3.988,4.077,3.13,2.048,4.054,2.585,2.244,2.817
Equatorial Guinea,Both,Cardiovascular diseases,3.754,3.714,3.798,2.856,1.849,3.723,2.283,1.981,2.494
Equatorial Guinea,Male,Chronic respiratory diseases,2.419,2.4,2.441,2.206,1.274,3.011,2.103,2.04,2.151
Equatorial Guinea,Female,Chronic respiratory diseases,3.066,3.036,3.098,2.819,1.745,3.738,2.737,2.617,2.785
Equatorial Guinea,Both,Chronic respiratory diseases,2.78,2.756,2.804,2.546,1.547,3.408,2.455,2.379,2.496
Equatorial Guinea,Male,Diabetes mellitus,2.811,2.703,2.95,2.264,1.331,3.071,2.065,1.943,2.152
Equatorial Guinea,Female,Diabetes mellitus,3.239,3.158,3.343,2.846,1.771,3.766,2.723,2.632,2.781
Equatorial Guinea,Both,Diabetes mellitus,3.047,2.956,3.163,2.588,1.587,3.45,2.432,2.342,2.494
Equatorial Guinea,Male,Four major NCDs,5.322,5.135,5.55,2.977,2.026,3.798,1.569,0.808,2.118
Equatorial Guinea,Female,Four major NCDs,5.803,5.629,6.017,3.561,2.469,4.495,2.348,1.499,2.879
Equatorial Guinea,Both,Four major NCDs,5.59,5.414,5.8,3.302,2.285,4.179,2.007,1.275,2.493
Eritrea,Male,Neoplasms,2.09,2.082,2.1,1.566,0.705,2.324,1.081,0.926,1.232
Eritrea,Female,Neoplasms,3.122,3.111,3.138,2.367,1.329,3.267,1.764,1.524,1.947
Eritrea,Both,Neoplasms,2.645,2.637,2.656,2.002,1.058,2.825,1.458,1.288,1.605
Eritrea,Male,Cardiovascular diseases,3.141,3.101,3.185,1.862,0.993,2.628,0.779,0.333,1.186
Eritrea,Female,Cardiovascular diseases,3.59,3.544,3.642,2.475,1.436,3.377,1.693,1.329,1.964
Eritrea,Both,Cardiovascular diseases,3.42,3.379,3.466,2.21,1.261,3.037,1.29,0.967,1.566
Eritrea,Male,Chronic respiratory diseases,1.747,1.715,1.779,1.415,0.559,2.169,1.23,1.136,1.305
Eritrea,Female,Chronic respiratory diseases,2.365,2.338,2.393,2.089,1.059,2.982,1.961,1.886,2.021
Eritrea,Both,Chronic respiratory diseases,2.091,2.064,2.118,1.787,0.849,2.604,1.633,1.57,1.685
Eritrea,Male,Diabetes mellitus,1.751,1.692,1.826,1.409,0.552,2.162,1.234,1.128,1.307
Eritrea,Female,Diabetes mellitus,2.424,2.369,2.494,2.097,1.067,2.99,1.956,1.874,2.012
Eritrea,Both,Diabetes mellitus,2.125,2.069,2.194,1.788,0.85,2.605,1.631,1.56,1.684
Eritrea,Male,Four major NCDs,4.906,4.756,5.083,2.288,1.406,3.064,0.308,-0.514,1.033
Eritrea,Female,Four major NCDs,5.578,5.429,5.757,2.988,1.934,3.902,1.299,0.523,1.881
Eritrea,Both,Four major NCDs,5.307,5.162,5.473,2.683,1.721,3.522,0.867,0.225,1.406
Estonia,Male,Neoplasms,4.528,4.494,4.568,3.233,2.283,4.05,2.377,2.309,2.446
Estonia,Female,Neoplasms,5.606,5.582,5.634,4.688,3.562,5.641,4.211,4.169,4.251
